Headlines,News,Date,Authors
Successful End of NASA Moon Mission Shifts Attention to SpaceX,"The Orion capsule’s splashdown in the Pacific Ocean moved NASA into the next stages of the Artemis program, which will rely on Elon Musk’s rocket company to build a moon lander for astronauts.","Dec. 11, 2022",KENNETH CHANG
"In a Future Filled With Electric Cars, AM Radio May Be Left Behind","Carmakers say electromagnetic interference causes static and noise on AM transmissions, annoying customers. Broadcasters say they could lose a connection to their core listeners, who rely on the radio for emergencies.","Dec. 10, 2022",MICHAEL LEVENSON
The New Chatbots Could Change the World. Can You Trust Them?,"Siri, Google Search, online marketing and your child’s homework will never be the same. Then there’s the misinformation problem.","Dec. 10, 2022",CADE METZ
They’re Taking Jigsaws to Infinity and Beyond,"In upstate New York, two algorithmic artists make wooden puzzles inspired by natural forms.","Dec. 9, 2022",SIOBHAN ROBERTS
Sam Bankman-Fried Agrees to Testify Before House Committee,"The FTX founder said on Twitter that he will appear before a House committee next week, but was quiet about a similar request from a Senate committee.","Dec. 9, 2022",MATTHEW GOLDSTEIN
F.T.C. Sues to Block Microsoft’s $69 Billion Acquisition of Activision,The move by the commission signals an aggressive stance by federal regulators to thwart the expansion of the tech industry’s biggest companies.,"Dec. 8, 2022",KAREN WEISE and DAVID MCCABE
No. 2 Theranos Executive Is Sentenced to Nearly 13 Years for Fraud,"Ramesh Balwani, the former chief operating officer of the failed blood testing start-up, was convicted of 12 counts of fraud in July.","Dec. 7, 2022",KALLEY HUANG
Apple Details Plans to Beef Up Encryption of Data in Its iCloud,The move could frustrate law enforcement efforts to circumvent the already tough security of iPhones.,"Dec. 7, 2022",TRIPP MICKLE
Indiana Sues TikTok for Security and Child Safety Violations,"The lawsuits are the first by an American state against TikTok, which is owned by the Chinese company ByteDance, in a sign of mounting legal pressure.","Dec. 7, 2022",CECILIA KANG
Why Losing to Meta in Court May Still Be a Win for Regulators,"As the Federal Trade Commission prepares to face off in court against Meta over a V.R. start-up deal, the agency is testing a novel argument as part of a strategy to push antitrust law.","Dec. 7, 2022",DAVID MCCABE
